,Price
508,392.939
509,414.174
510,393.566
511,388.784
512,396.316
513,396.252
514,393.133
515,394.257
516,383.843
517,375.98800000000006
518,378.256
519,377.724
520,373.237
521,374.287
522,372.194
523,378.35
524,387.86
525,377.282
526,377.566
527,376.95
528,374.584
529,379.689
530,380.995
531,382.955
532,389.825
533,400.002
534,404.62
535,404.798
536,414.783
537,420.74300000000005
538,420.701
539,430.082
540,438.567
541,437.065
542,427.514
543,421.19
544,423.3
545,424.262
546,432.256
547,429.127
548,436.765
549,434.676
550,431.575
551,421.323
552,419.557
553,403.989
554,404.42
555,409.784
556,412.669
557,411.941
558,413.802
559,419.577
560,413.346
561,412.764
562,414.027
563,415.778
564,415.443
565,418.234
566,413.077
567,407.531
568,410.271
569,409.752
570,415.288
571,416.991
572,415.821
573,415.36
574,416.249
575,419.4380000000001
576,423.456
577,417.945
578,412.853
579,414.983
580,415.156
581,418.138
582,417.978
583,418.564
584,420.973
585,421.292
586,420.006
587,420.314
588,416.93300000000005
589,418.889
590,420.07
591,423.767
592,423.615
593,423.23
594,426.47
595,429.73800000000006
596,427.826
597,427.315
598,428.717
599,436.562
600,443.215
601,445.474
602,445.852
603,452.604
604,457.376
605,463.109
606,458.712
607,444.29
608,449.257
609,451.828
610,449.954
611,446.236
612,446.352
613,446.98800000000006
614,446.657
615,451.464
616,457.98800000000006
617,457.595
618,458.102
619,454.7480000000001
620,452.584
621,451.025
622,454.247
623,455.025
624,455.975
625,455.809
626,453.459
627,453.949
628,449.494
629,441.529
630,442.068
631,441.268
632,441.669
633,445.089
634,448.097
635,450.845
636,472.112
637,496.908
638,522.366
639,533.135
640,535.4159999999998
641,532.201
642,534.594
643,551.979
644,571.159
645,573.875
646,580.536
647,579.599
648,574.524
649,574.28
650,573.047
651,579.549
652,638.456
653,686.885
654,685.852
655,682.671
656,734.99
657,744.823
658,748.164
659,753.295
660,747.682
661,681.946
662,649.939
663,588.9259999999998
664,652.469
665,669.2869999999998
666,640.632
667,637.878
668,647.563
669,633.786
670,651.127
671,674.2510000000002
672,683.826
673,673.449
674,668.6239999999998
675,669.77
676,670.711
677,640.923
678,644.648
679,649.595
680,645.327
681,646.33
682,653.631
683,659.574
684,655.688
685,658.89
686,660.703
687,667.4639999999998
688,675.1339999999999
689,668.951
690,667.413
691,662.495
692,659.5210000000002
693,653.6659999999998
694,656.306
695,656.1189999999998
696,651.943
697,652.979
698,654.826
699,655.2180000000002
700,655.252
701,636.085
702,620.444
703,595.245
704,552.184
705,572.822
706,573.026
707,575.443
708,589.396
709,589.0319999999998
710,586.113
711,589.594
712,592.19
713,586.987
714,586.74
715,576.2719999999998
716,569.003
717,571.996
718,574.509
719,573.871
720,574.592
721,577.7080000000002
722,580.948
723,582.629
724,584.169
725,580.74
726,575.66
727,578.283
728,574.184
729,572.17
730,574.891
731,576.744
732,574.462
733,573.069
734,573.174
735,579.773
736,604.2080000000002
737,605.63
738,606.793
739,610.021
740,621.285
741,622.6030000000002
742,623.9019999999998
743,620.306
744,607.225
745,609.126
746,610.447
747,609.706
748,608.3480000000002
749,607.443
750,607.971
751,609.9259999999998
752,608.701
753,597.9159999999998
754,597.849
755,599.46
756,603.368
757,602.605
758,604.645
759,605.886
760,604.8009999999998
761,604.65
762,604.894
763,611.559
764,610.758
765,610.721
766,609.337
767,610.4780000000002
768,611.072
769,613.763
770,617.237
771,616.581
772,616.2959999999998
773,631.621
774,637.312
775,635.764
776,636.521
777,639.211
778,639.793
779,638.715
780,637.034
781,632.653
782,628.962
783,631.236
784,641.524
785,653.664
786,650.557
787,654.64
788,665.07
789,682.275
790,685.3560000000001
791,705.335
792,704.7860000000002
793,698.831
794,720.1210000000002
795,724.827
796,724.0989999999998
797,698.7919999999998
798,702.682
799,708.671
800,703.872
801,705.7610000000002
802,724.306
803,714.235
804,714.44
805,708.5419999999998
806,696.1360000000002
807,701.676
808,709.94
809,721.6519999999998
810,742.568
811,742.5219999999998
812,747.6460000000002
813,740.325
814,734.423
815,741.868
816,742.446
817,738.4910000000001
818,734.9830000000002
819,734.7860000000002
820,732.6310000000002
821,732.658
822,732.3739999999998
823,737.7589999999999
824,747.59
825,767.6569999999998
826,764.4830000000002
827,764.0110000000002
828,754.931
829,755.702
830,760.565
831,766.6519999999998
832,768.4939999999998
833,771.9910000000001
834,767.304
835,774.3710000000002
836,777.648
837,776.7139999999998
838,776.7080000000002
839,779.035
840,786.632
841,787.6619999999998
842,789.416
843,789.909
844,811.0210000000002
845,852.382
846,894.707
847,897.765
848,871.821
849,896.85
850,911.027
851,950.293
852,965.624
853,950.955
854,952.778
855,970.988
856,1010.0
857,1017.0
858,1075.0
859,1045.0
860,927.984
861,865.388
862,908.784
863,890.7280000000002
864,899.0889999999998
865,843.3580000000002
866,781.2919999999998
867,805.197
868,825.581
869,816.1419999999998
870,825.8610000000001
871,873.1619999999998
872,882.9860000000001
873,890.2360000000001
874,892.331
875,914.851
876,920.879
877,918.084
878,906.179
879,894.1560000000002
880,903.996
881,914.645
882,916.865
883,915.551
884,915.703
885,937.573
886,969.061
887,989.036
888,1009.0
889,1014.0
890,1016.0
891,1017.0
892,1038.0
893,1049.0
894,1020.0
895,973.244
896,1003.0
897,999.914
898,994.654
899,1003.0
900,1006.0
901,1023.0
902,1043.0
903,1056.0
904,1049.0
905,1052.0
906,1095.0
907,1114.0
908,1140.0
909,1178.0
910,1163.0
911,1160.0
