0,1,1.05
0.048931,0.99832,1.0362
0.095542,1.0031,1.0227
0.14025,1.014,1.0097
0.18346,1.0309,0.9971
0.2753,1.0878,0.97071
0.36486,1.1711,0.94639
0.45494,1.2806,0.92434
0.54843,1.4163,0.90482
0.65584,1.5926,0.88714
0.7729,1.803,0.87359
0.90241,2.0507,0.86518
1.0475,2.3396,0.86321
1.2461,2.7459,0.87182
1.4773,3.2285,0.89608
1.7477,3.7997,0.94172
2.0648,4.4735,1.0168
2.5602,5.5273,1.1771
3.1705,6.8235,1.4387
3.9207,8.4066,1.8543
4.8396,10.319,2.5041
6.1415,12.961,3.6886
7.757,16.111,5.582
9.7114,19.649,8.5061
11.974,23.2,12.844
13.392,25.029,16.155
14.835,26.439,20.063
16.238,27.201,24.503
17.519,27.091,29.308
18.579,25.912,34.219
19.309,23.602,38.838
19.615,20.251,42.776
19.444,16.084,45.719
18.868,11.937,47.337
17.913,7.7736,47.952
16.628,3.8772,47.659
15.09,0.4506,46.634
13.582,-2.1013,45.299
11.999,-4.1687,43.722
10.393,-5.7698,42.031
8.8086,-6.9577,40.332
7.3249,-7.7811,38.749
5.9143,-8.34,37.264
4.5916,-8.6906,35.898
3.3657,-8.8839,34.66
1.5447,-8.9696,32.873
-0.0057995,-8.878,31.394
-1.3075,-8.7085,30.174
-2.3889,-8.5235,29.165
-3.1811,-8.3754,28.42
-3.852,-8.2545,27.781
-4.4209,-8.1684,27.231
-4.9065,-8.1206,26.756
-5.3872,-8.1133,26.287
-5.7984,-8.155,25.897
-6.1565,-8.2421,25.58
-6.4769,-8.3689,25.331
-6.7958,-8.5433,25.135
-7.0939,-8.7485,25.015
-7.3779,-8.9755,24.972
-7.6538,-9.214,25.003
-7.9732,-9.4956,25.132
-8.2841,-9.7604,25.359
-8.5822,-9.99,25.676
-8.8626,-10.166,26.07
-9.1637,-10.284,26.613
-9.4109,-10.282,27.2
-9.5871,-10.148,27.787
-9.681,-9.8859,28.325
-9.6838,-9.493,28.787
-9.5858,-9.0167,29.1
-9.3946,-8.5012,29.239
-9.1289,-7.9925,29.198
-8.7456,-7.4488,28.936
-8.3368,-7.0305,28.476
-7.947,-6.7693,27.871
-7.6143,-6.673,27.197
-7.399,-6.711,26.627
-7.2546,-6.8499,26.082
-7.1872,-7.0799,25.591
-7.1983,-7.3872,25.177
-7.32,-7.8702,24.793
-7.5576,-8.4258,24.613
-7.8964,-9.0108,24.672
-8.3036,-9.5686,24.98
-8.7146,-10.013,25.491
-9.1134,-10.306,26.182
-9.4551,-10.392,26.988
-9.6948,-10.242,27.815
-9.792,-9.9182,28.47
-9.7669,-9.449,28.98
-9.6178,-8.8862,29.294
-9.3614,-8.2886,29.385
-9.0194,-7.7114,29.255
-8.6302,-7.2217,28.922
-8.232,-6.8562,28.427
-7.8597,-6.6334,27.827
-7.5638,-6.554,27.229
-7.3323,-6.591,26.624
-7.1761,-6.7363,26.044
-7.1015,-6.9758,25.52
-7.1146,-7.3369,25.029
-7.2284,-7.782,24.672
-7.4374,-8.2887,24.477
