Date,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Cleared Volume (MW),Finale Scheduled Volume (MW),MCP (Rs/MWh)
2020-01-01 11:15:00,11639.2,9224.3,8285.3,8285.3,8285.3,3800.77
2020-01-01 11:30:00,11265.6,9288.3,8128.4,8128.4,8128.4,3749.4
2020-01-01 11:45:00,10943.7,9287.8,7921.9,7921.9,7921.9,3725.24
2020-01-01 12:00:00,10215.9,9832.7,7842.8,7842.8,7842.8,3537.09
2020-01-01 12:15:00,9767.0,9830.0,7589.1,7589.1,7589.1,3490.08
2020-01-01 12:30:00,9087.6,9928.8,7225.64,7225.64,7225.64,3305.39
2020-01-01 12:45:00,8762.3,9985.5,7003.6,7003.6,7003.6,3250.35
2020-01-01 13:00:00,8634.0,10189.2,6762.8,6762.8,6762.8,3472.42
2020-01-01 13:15:00,8500.1,10256.5,6629.9,6629.9,6629.9,3441.99
2020-01-01 13:30:00,8256.4,10118.6,6407.2,6407.2,6407.2,3399.6
2020-01-01 13:45:00,8218.9,10211.7,6342.9,6342.9,6342.9,3349.71
2020-01-01 14:00:00,8321.5,10947.8,6427.87,6427.87,6427.87,3300.56
2020-01-01 14:15:00,8339.2,10420.9,6427.2,6427.2,6427.2,3349.31
2020-01-01 14:30:00,8321.6,10799.8,6576.7,6576.7,6576.7,3199.13
2020-01-01 14:45:00,8270.1,10883.4,6562.1,6562.1,6562.1,3149.24
2020-01-01 15:00:00,8130.5,10280.7,6502.1,6502.1,6502.1,3049.96
2020-01-01 15:15:00,8126.1,9787.2,6474.89,6474.89,6474.89,3070.55
2020-01-01 15:30:00,8354.9,9515.4,6627.8,6627.8,6627.8,3199.31
2020-01-01 15:45:00,8487.0,9384.1,6665.3,6665.3,6665.3,3250.15
2020-01-01 16:00:00,8593.3,9391.5,6729.39,6729.39,6729.39,3330.81
2020-01-01 16:15:00,8724.3,9241.7,6928.21,6928.21,6928.21,3250.51
2020-01-01 16:30:00,9004.4,9090.7,6993.0,6993.0,6993.0,3637.02
2020-01-01 16:45:00,9277.5,9314.3,7147.0,7147.0,7147.0,3725.79
2020-01-01 17:00:00,9073.6,10652.1,7346.4,7346.4,7346.4,3500.32
2020-01-01 17:15:00,8940.6,10335.1,7228.4,7228.4,7228.4,3500.11
2020-01-01 17:30:00,8898.4,10059.9,7165.9,7165.9,7165.9,3500.5
2020-01-01 17:45:00,8427.7,10232.6,7100.28,7100.28,7100.28,2999.32
2020-01-01 18:00:00,8193.1,10224.4,7235.89,7235.88,7235.88,3200.91
2020-01-01 18:15:00,8681.4,10645.0,7685.0,7685.0,7685.0,3399.69
2020-01-01 18:30:00,8084.5,11090.2,7364.26,7364.26,7364.26,3150.36
2020-01-01 18:45:00,8275.3,11814.1,7575.1,7575.1,7575.1,3099.87
2020-01-01 19:00:00,9735.5,12533.3,9002.9,9002.9,9002.9,3199.33
2020-01-01 19:15:00,10019.5,12685.9,9262.6,9262.6,9262.6,3249.45
2020-01-01 19:30:00,10367.7,13256.9,9612.5,9612.5,9612.5,3249.87
2020-01-01 19:45:00,10329.5,13524.7,9568.7,9568.7,9568.7,3179.99
2020-01-01 20:00:00,10122.6,14120.2,9343.3,9343.3,9343.3,3179.92
2020-01-01 20:15:00,9799.0,14222.1,9020.7,9020.7,9020.7,3179.99
2020-01-01 20:30:00,9329.5,14418.5,8545.8,8545.8,8545.8,3179.75
2020-01-01 20:45:00,8923.5,15026.8,8155.66,8155.67,8155.67,3150.62
2020-01-01 21:00:00,8253.6,15492.7,7484.7,7484.7,7484.7,3059.17
2020-01-01 21:15:00,7480.1,15926.9,6769.6,6769.6,6769.6,2999.77
2020-01-01 21:30:00,6447.1,16298.0,5777.0,5777.0,5777.0,2889.39
2020-01-01 21:45:00,5940.3,16773.8,5291.1,5291.1,5291.1,2749.24
2020-01-01 22:00:00,5518.5,17314.3,4353.1,4353.1,4353.1,2641.07
2020-01-01 22:15:00,5558.1,17064.2,4392.6,4392.6,4392.6,2659.43
2020-01-01 22:30:00,5575.0,17395.2,4410.8,4410.8,4410.8,2659.1
2020-01-01 22:45:00,5354.6,17326.4,4262.45,4262.45,4262.45,2499.86
2020-01-01 23:00:00,5117.1,18310.3,4386.58,4386.58,4386.58,2250.93
2020-01-01 23:15:00,4824.6,18791.3,4199.3,4199.3,4199.3,2091.26
2020-01-01 23:30:00,4966.3,19396.6,4338.0,4338.0,4338.0,2083.21
2020-01-01 23:45:00,4849.5,19514.6,4246.1,4246.1,4246.1,2029.44
2020-01-02 00:00:00,4946.7,21259.4,4628.5,4619.7,4619.7,1999.68
2020-01-02 00:15:00,5044.8,21691.8,4758.5,4749.7,4749.7,1999.56
2020-01-02 00:30:00,5045.8,22660.4,4772.8,4764.0,4764.0,1999.39
2020-01-02 00:45:00,5093.6,23180.2,4821.6,4812.8,4812.8,1999.08
2020-01-02 01:00:00,4842.6,25088.3,4588.4,4585.83,4585.83,1951.17
2020-01-02 01:15:00,4792.7,25313.6,4547.5,4538.7,4538.7,1929.35
2020-01-02 01:30:00,4841.9,26434.8,4596.6,4590.64,4590.64,1903.13
2020-01-02 01:45:00,4791.2,26687.2,4555.3,4546.5,4546.5,1864.75
2020-01-02 02:00:00,4774.9,27161.7,4539.3,4530.5,4530.5,1875.73
2020-01-02 02:15:00,4773.9,27446.3,4542.0,4533.2,4533.2,1840.69
2020-01-02 02:30:00,4778.0,27490.2,4546.3,4537.5,4537.5,1840.62
2020-01-02 02:45:00,4773.4,27598.9,4542.2,4533.4,4533.4,1840.31
2020-01-02 03:00:00,4773.4,27727.0,4543.0,4534.2,4534.2,1840.62
2020-01-02 03:15:00,4774.2,27727.6,4544.9,4536.1,4536.1,1840.54
2020-01-02 03:30:00,4775.6,27483.7,4546.2,4537.4,4537.4,1840.67
2020-01-02 03:45:00,4775.1,27085.1,4545.7,4536.9,4536.9,1840.69
2020-01-02 04:00:00,4850.0,25967.5,4614.9,4606.1,4606.1,1840.74
2020-01-02 04:15:00,4932.0,25571.9,4685.9,4677.1,4677.1,1923.92
